PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT
"COCONUT OIL IN DRUMS 1 X 20' DRY CONTAINER VAN CONTAINING 18.30 MT OF CERTIFIED ORGANIC RBD COCONUT OIL, NOP CERTIFIED, PH-BIO-154 PACKED IN 1000 LITER SPACEKRAFT CORRUGATED IBC WITH HEATING ELEMENT (110V), AS PER SPECIFICATIONS OF SC GLOBAL COCO PRODUCTS, INC. . NET WEIGHT 18.30 MT THE SAME THE SAME THE SAME THE SAME",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"SC GLOBAL COCO PRODUCTS, INC.",03/11/2015,42372,19260,Kaohsiung,"Tacoma, Washington",EVER ELITE,China Taiwan,"ORGANIC RBD COCONUT OIL ORGANIC RBD COCONUT OIL LOT NO. 061 150106 008 MFG. DATE 06/JANUARY/2015 NET WEIGHT 915 KG. INGREDIENTS ORGANIC COCONUT OILSTORAGE CONDITIONS COOL ( 70 F/21 C) DO NOT EXPOSE TO OXYGEN, HEAT,LIGHT AND MOISTURE MANUFACTURED IN PHILIPPINES","10200 SW GREENBURG RD., STE 500 TIG ARD, OR 97223 USA TRL 503-872-3566 LOCAL 800-570-3566 TOLL FREE","NATIONAL HIGHWAY, BRGY. CARIDAD, BAYBAY CITY, LEYTE PHILIPPINES 6521",97223,1,EISU2219960,22G1,20,PKG,25,X,EGLV061500002489, , ,0384E,EMCEHL5913,UNITED KINGDOM, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,BRIDGEWELL RESOURCES FOOD & AG,"PRODUCTS DIVISION 12420 SE CARPENTER DR CLACKAMAS, OR LOCAL 800-570-3566 TOLL FREE",CEBU
PINE FJ DOOR JAMBS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,ROSINA PORTAS LTDA,03/11/2015,44887,20403,Navagantes,"Houston, Texas",MSC ANNICK,Brazil,ROSINA PO 00730931 HOUSTON,10200 SW GREENBURG RD TIGARD OR 97223 US,RODOVIA MUNICIPAL RCD 418 400 RIO DOS CEDROS BR,97223,1,ZCSU8363996,45G0,5220,PCS,44,X,FTNVIJS000006332,H,ZIMUITJ8006083,8N,ZZZS734849,PANAMA, ,FTNV,FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE INC,BUFFALO,NY,14207,128 DEARBORN STREET,-NOT AVAILABLE-, ,BR
"WITH URUGUAYAN PINE K/D BLANKS 'WOOD PAC KING MATERIALS BEING USED ARE FREE OF BAR K AND APPARENTLY FREE FROMLIVE PLANT PEST ' 2ND NOTIFY RICHARD MURRAY AND CO. INC. 109N CONCEPTION STREET 102 MOBILE,AL36602 INGE WENTWORTH P:2514325549 EXT.19 F:251 4322810 INGE@RICHARD-MURRAY.COM",BRIDGEWELL RESOURCES, ,DANK S.A.,03/11/2015,23520,10691,Portocel,"Houston, Texas",MSC ANNICK,Brazil,NO MARKS NO NUMBERS,"10200 SW GREENBURG RD.,STE.500, TI GARD,OR 97223-EE.UU. PH:5038723535 OR 8007843545 FX:5032382664",JUAN PAULLIER 1671 MONTEVIDEO-URUG UAY PH.59824099999 FX.59824088056,97223,1,ZCSU8698388,4500,12,PKG,0,CF,ZIMUMVD900700, , ,9S,ZZZS609869,PANAMA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD.,STE.500, TI GARD,OR 97223-EE.UU. PH:5038723535 OR 8007843545 FX:5032382664",MONTEVIDEO
URUGUAYAN PINE KD BLANKS S2,BRIDGEWELL RESOURCES, ,DANK S.A.,03/11/2015,55748,25340,Cartagena,"Oakland, California",SEASPAN CHIWAN,Colombia,PCS 4209,"10200 SW GREENBURG RD STE 500 TIGARD, OR 97223 US","JUAN PAULILIER 1671 MONTEVIDEO, UY", ,1,TCNU9896188, ,22,PKG,0,CM,SHKK858700133104,H,HLCUMVD150101302,06W04,HLD0415044,HONG KONG, ,SHKK,SCHENKEROCEAN LIMITED,WANCHAI, , ,38 FL CHINA RESOURCES BLDG 26 HARBOUR RD,-NOT AVAILABLE-, ,MONTEVIDEO
URUGUAYAN PINE KD BLANKS S2S URUGUAYAN PINE KD BLANKS S2S,BRIDGEWELL RESOURCES, ,DANK S.A.,03/09/2015,107426,48830,Cartagena,"Oakland, California",CAP JACKSON,Colombia,PCS 4110PCS 8680,"10200 SW GREENBURG RD STE 500 TIGARD, OR 97223 US","JUAN PAULILIER 1671 MONTEVIDEO, UY", ,2,HLXU6383038 AMFU8532050,4510 4510,42,PKG,0,CM,SHKK858700132138,H,HLCUMVD141202246,05W03,HLD0418290 HLD0415032,LIBERIA, ,SHKK,SCHENKEROCEAN LIMITED,WANCHAI, , ,38 FL CHINA RESOURCES BLDG 26 HARBOUR RD,-NOT AVAILABLE-, ,MONTEVIDEO
URUGUAYAN PINE KD BLANKS S2S URUGUAYAN PINE KD BLANKS S2S,BRIDGEWELL RESOURCES, ,DANK S.A.,03/09/2015,101640,46200,Cartagena,"Oakland, California",CAP JACKSON,Colombia,7296 PCS5732 PCS,"10200 SW GREENBURG RD STE 500 TIGARD, OR 97223 US","JUAN PAULILIER 1671 MONTEVIDEO, UY", ,2,TCNU9875190 GATU8405093,4500 4510,41,PKG,0,CM,SHKK858700132275,H,HLCUMVD150100226,05W03,HLD0414801 HLD0415016,LIBERIA, ,SHKK,SCHENKEROCEAN LIMITED,WANCHAI, , ,38 FL CHINA RESOURCES BLDG 26 HARBOUR RD,-NOT AVAILABLE-, ,MONTEVIDEO UR
MOULDINGS PRIMED EXTERIOR,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,MADEIREIRA BEIRA RIO LTDA,03/08/2015,43034,19561,Itajay,"New Orleans, Louisiana",E.R. BERLIN,Brazil,NO MARKS,10200 SW GREENBURG ROAD- SUITE 500 TIGARD OR 97223 US,"BAIRRO INDUSTRIAL, SN PAPANDUVA CNPJ: 82.749.094/0001-60 PAPANDUVA BR",97223,1,HLXU6103965,4300,21,PKG,0,CF,SACY00039815,H,HLCUSS2150117566,1501N,511960,LIBERIA, ,SACY, , , , , ,RICHARD MURRAY & CO,JAN@RICHARD-MURRAY.COM TIGARD OR US, 
"NET WEIGHT 24330 KGS 5720 PCS 44 PALLET (S) WITH URUGUAYAN PINE K/D BLANKS S2S CBM 94.610 MBF 40.152 PCS 9039 ORDER NR. 731070/728758 WOOD PACKING MATERIALS BEING USED ARE FREE OF BARK & APPARENTLY FREE FROMLIVE PLANT PEST 2ND NOTIFY RICHARD MURRAY & CO. INC. 109N CONCEPTION STREET #102 MOBILE,AL36602 INGE WENTWO NET WEIGHT 23370 KGS 3319 PCS WOOD RTH P 2514325549 EXT.19 F 2514322810 INGERICHARD-MURRAY.COM",BRIDGEWELL RESOURCES, ,DANK S.A.,03/07/2015,106392,48360,Balboa,"Oakland, California",MSC ELA,Panama,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKSNO MARKSNO MARKS,"10200 SW GREENBURG RD., STE. 500, T TIGARD OR 97223 UNITED STATES",JUAN PAULLIER 1671 MONTEVIDEO 11200 URUGUAY,97223,2,MSCU7843873 MSCU9961258,4510 4510,44,PKG,94,X,MSCUUU405561, , ,501S,EU0004224585 EU0004224499,PANAMA, ,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD., STE. 500, T TIGARD OR 97223 UNITED STATES",MONTEVIDEO
ORGANIC VIRGIN COCONUT OIL,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,ROYCE FOOD CORPORATION,03/07/2015,41712,18960,Kaohsiung,"Los Angeles, California",ANTON SCHULTE,China Taiwan,NO MARKS,". 10200 SW GREENBURG ROAD, SUITE 500 TIGARD, OR 97223",". KILOMETER 3, BAAN BUTUAN CITY 8600, PHILIPPINES",97223,1,DRYU2163587,2CG0,20,PKG,0, ,HJSCDVO500032100, , ,0001E,HC086008,MALTA, ,HJSC,HANJIN SHIPPING COMPANY LTD,PARAMUS,NJ,7652,80 EAST RT 4 SUITE 490,BRIDGEWELL RESOURCES LLC,". 10200 SW GREENBURG ROAD, SUITE 500 TIGARD, OR 97223","DAVAO, MINDANAO"
01 X 40' HC CONTAINING 20 BUNDLES WITH: MOLDED PINE WOOD FOR MOULDINGS SPLIT JAMB S RAW SHIPPED ON BOARD FREIGHT COLLECT FR EIGHT AS PER AGREEMENT EXPRESS RELEASE RE : 15/0101583-001 SD:2150080688/9 NCM:4418 9000 NCM CODE: 44189000 REFERENCE TYPE (A BT) - 44189000,BRIDGEWELL RESOURCES, ,AERO COMERCIO DE PORTAS E BATENTES,03/06/2015,19900,9045,Portocel,"Savannah, Georgia",MSC SAO PAULO,Brazil,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD. PORTLAND, OR 97223 PH:503872-3535/FX: 503 238-2 664 TSANDBERG@BRIDGEWELLRES.COM","LTDA - RUA PRESIDENTE KENNEDY, 126 - COHAB 1 ANDAR - FONE:(43)35678320 SENGES-PR-BRASIL-CEP:84220-000 CN",3872,1,ZCSU8309629,4500,20,BDL,0,CF,ZIMUITJ2000711, , ,7S,ZZZS734951,LUXEMBOURG, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD. PORTLAND, OR 97223 PH:503872-3535/FX: 503 238-2 664 TSANDBERG@BRIDGEWELLRES.COM",NAVEGANTES
UREA 46 PCT N PRILLED UREA 46 PCT N PRILLED UREA 46 PCT N PRILLED UREA 46 PCT N PRILLED,BRIDGEWELL RESOURCES LLC.,BRIDGEWELL RESOURCES LLC,"SINO STARCO CHEMICAL CO.,LIMITED.",03/06/2015,344916,156780,Ningpo,"Tacoma, Washington",EVER ULYSSES,China,N/MN/MN/MN/MN/MN/M N/M THE SAME,"12420 SE CARPENTER DRIVE CLACKAMAS,OR 97015 USA FAX #503-742-1198","2 MINJIANG ROAD B-2403,QINGDAO 266071,P.R.CHINA",97015,6,EMCU1362383 EISU1804533 IMTU1018525 EMCU1433548 EGHU1056157MLCU4776167,42G1 42G1 42G1 42G1 42G142G1,156,PKG,156,X,EGLV140500052293, , ,0383E,EMCAPU0453 EMCAPU0443 EMCAPU0913 EMCBFA2263 EMCAPU0423 EMCAPU0683,SINGAPORE, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,"TLR,MARGARET MOWERY","11855 N.E.GLENN WIDING DRIVE,PORTLAND OR 97220 P#503-257-6090 X343","QINGDAO, CHINA"
URUGUAYAN PINE KD BLANKS S2S URUGUAYAN PINE KD BLANKS S2S,BRIDGEWELL RESOURCES, ,DANK S.A.,03/05/2015,106370,48350,Cartagena,"Oakland, California",SANTA RAFAELA,Colombia,92165800,"10200 SW GREENBURG RD STE 500 TIGARD, OR 97223 US","JUAN PAULILIER 1671 MONTEVIDEO, UY", ,2,HLXU6215034 HLXU6142508, ,43,PKG,1,CM,SHKK858700131469,H,HLCUMVD141201920,07W02,HLD0418284 HLD0418283,LIBERIA, ,SHKK,SCHENKEROCEAN LIMITED,WANCHAI, , ,38 FL CHINA RESOURCES BLDG 26 HARBOUR RD,-NOT AVAILABLE-, ,MONTEVIDEO UR
UREA UREA UREA UREA UREA 46%N PRILLED PO#733638 CPO#733752,BRIDGEWELL RESOURCES LLC.,BRIDGEWELL RESOURCES LLC,"SINO STARCO CHEMICAL CO.,LIMITED.",03/04/2015,344916,156780,Ningpo,"Tacoma, Washington",EVER UTILE,China,N/MN/MN/MN/M N/M THE SAMEN/MN/M,"12420 SE CARPENTER DRIVE CLACKAMAS,OR 97015 USA FAX #503-742-1198","2 MINJIANG ROAD B-2403, QINGDAO 266071,P.R.CHINA",97015,6,HMCU1028002 EISU1873072 EISU1798092 LTIU6049922 EISU1693466EGHU1071001,42G1 42G1 42G1 42G1 42G142G1,156,PKG,156,X,EGLV140500052285, , ,0382E,EMCAPU1723 EMCAPU1603 EMCAPU2253 EMCAPU1713 EMCAPU2243 EMCAPU2273,PANAMA, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,"TLR,MARGARET MOWERY","11855 N.E.GLENN WIDING DRIVE, PORTLAND OR 97220 P#503-257-6090 X343","QINGDAO, CHINA"
01 X 40' HC CONTAINING: 20 BUNDLES OF MO LDED PINE WOOD FOR MOULDINGS SPLIT JAMBS PRIMED FREIGHT COLLECT SHIPPED ON BOARD E XPRESS RELEASE NCM:44189000 RE:15/0083035 -001 SD:2150066358/1 REFERENCE TYPE (ABT) - 44189000,BRIDGEWELL RESOURCES, ,AERO COMERCIO DE PORTAS E BATENTES,03/04/2015,19900,9045,Portocel,"Houston, Texas",MSC NATALIA,Brazil,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD. PORTLAND, OR 97223 PH: 503 872-3535 FX: 503 238 -2664 TSANDBERG@BRIDGEWELLRES.COM","LTDA - RUA PRESIDENTE KENNEDY, 126 COHAB/SENGES - PARANA - BRASIL FONE : (43) 3567-8320 CNPJ:11.847.182/0", ,1,ZCSU8705321,4500,20,BDL,0,CF,ZIMUITJ2000674, , ,2S,ZZZS734831,LIBERIA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD. PORTLAND, OR 97223 PH: 503 872-3535 FX: 503 238 -2664 TSANDBERG@BRIDGEWELLRES.COM",NAVEGANTES
"COCONUT OIL IN DRUMS 1 X 20' DRY CONTAINER VAN CONTAINING 15.20 MT OF CERTIFIED ORGANIC RBD COCONUT OIL, NOP CERTIFIED, PH-BIO-154 PACKED IN NEW STEEL DRUMS AS PER SPECIFICATIONS OF SC GLOBAL COCO PRODUCTS, INC. . NET WEIGHT 15.20 MT THE SAME THE SAME THE SAME THE SAME THE SAME",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"SC GLOBAL COCO PRODUCTS, INC.",03/02/2015,35904,16320,Kaohsiung,"Los Angeles, California",EVER SMILE,China Taiwan,"ORGANIC RBD COCONUT OIL ORGANIC RBD COCONUT OIL LOT NO. 061 150106 008 MFG. DATE 06/JANUARY/2015 NET WEIGHT 190 KG. INGREDIENTS ORGANIC COCONUT OILSTORAGE CONDITIONS COOL ( 70 F/21 C) DO NOT EXPOSE TO OXYGEN, HEAT, LIGHT AND MOISTURE MANUFACTURED IN PHILIPPINES","10200 SW GREENBURG RD., STE 500 TIG ARD, OR 97223 USA TRL 503-872-3566 LOCAL 800-570-3566 TOLL FREE","NATIONAL HIGHWAY, BRGY. CARIDAD, BAYBAY CITY, LEYTE PHILIPPINES 6521",97223,1,MAGU2321982,22G0,80,DRM,25,X,EGLV061400042730, , ,0756E,EMCEHG1273,UNITED KINGDOM, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,BRIDGEWELL RESOURCES FOOD & AG,"PRODUCTS DIVISION 12420 SE CARPENTER DR CLACKAMAS, OR LOCAL 800-570-3566 TOLL FREE",CEBU
"COCONUT OIL IN FLEXITANK 1 X 20' DRY CONTAINER VAN CONTAINING 15.20 MT OF CERTIFIED ORGANIC RBD COCONUT OIL, NOP CERTIFIED, PH-BIO-154 PACKED IN NEW STEEL DRUMS AS PER SPECIFICATIONS OF SC GLOBAL COCO PRODUCTS, INC. . NET WEIGHT 15.20 MT THE SAME THE SAME THE SAME THE SAME THE SAME",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"SC GLOBAL COCO PRODUCTS, INC.",03/02/2015,35904,16320,Kaohsiung,"Los Angeles, California",EVER SMILE,China Taiwan,"ORGANIC RBD COCONUT OIL ORGANIC RBD COCONUT OIL LOT NO. 061 150106 008 MFD. DATE 06/JANUARY/2015 NET WEIGHT 190 KG. INGREDIENTS ORGANIC COCONUT OILSTORAGE CONDITIONS COOL ( 70 F/21 C) DO NOT EXPOSE TO OXYGEN, HEAT,LIGHT AND MOISTURE MANUFACTURED IN PHILIPPINES","10200 SW GREENBURG RD., STE 500 TIG ARD, OR 97223 USA TRL 503-872-3566 LOCAL 800-570-3566 TOLL FREE","NATIONAL HIGHWAY, BRGY. CARIDAD, BAYBAY CITY, LEYTE PHILIPPINES 6521",97223,1,EITU0180734,22G1,80,DRM,25,X,EGLV061500000273, , ,0756E,EMCEHG1743,UNITED KINGDOM, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,BRIDGEWELL RESOURCES FOOD & AG,"PRODUCTS DIVISION 12420 SE CARPENTER DR CLACKAMAS, OR LOCAL 800-570-3566 TOLL FREE",CEBU
"2X20 CONTAINERS 23500 KG EACH PACKED IN NEW STRONG PP BAGS OF 50 KGS EACH TEFF, NEW CROP 2014 2X20 CONTAINERS 23500 KG EACH PACKED IN NEW STRONG PP BAGS OF 50 KGS EACH TEFF, NEW CROP 2014",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,TEFFCOM,03/01/2015,88000,40000,South Riding Point,"Philadelphia, Pennsylvania",MSC LEANNE,Bahamas,NO MARKS NO MARKS NO MARKSNO MARKS NO MARKS NO MARKS,"12420 SE CARPENTER DR. CLACKAMAS, O CLACKAMAS OR 12420 UNITED STATES",5 LEVI ESHKOL STREET NETANYA ISRAEL,12420,2,TCLU2367143 MEDU3528057,2210 2210,800,BAG,0, ,MSCUJI022714, , ,505R,EU0003935691 EU0003935394,PANAMA, ,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,TOTAL LOGISTICS RESOURCES,"11855 N.E. GLENN WIDING DRIVE, PORT PORTLAND OR 97220 UNITED STATES",DJIBOUTI
"'SHIPPER'S LOAD, COUNT & SEAL' (156P'KGS) CY / CY UREA 46%N PRILLED PO#733638 CPO#733750 FREIGHT COLLECT COPY NON-NEGOTIABLE WAYBILL RELEASE PROCEDURE 'SHIPPER'S LOAD, COUNT & SEAL' (156P'KGS) CY / CY UREA 46%N PRILLED PO#733638 CPO#733750 FREIGHT COLLECT COPY NON-NEGOTIABLE WAYBILL RELEASE PROCEDURE 'SHIPPER'S LOAD, COUNT & SEAL' (156P'KGS) CY / CY UREA 46%N PRILLED PO#733638 CPO#733750 FREIGHT COLLECT COPY NON-NEGOTIABLE WAYBILL RELEASE PROCEDURE 'SHIPPER'S LOAD, COUNT & SEAL' (156P'KGS) CY / CY UREA 46%N PRILLED PO#733638 CPO#733750 FREIGHT COLLECT COPY NON-NEGOTIABLE WAYBILL RELEASE PROCEDURE",BRIDGEWELL RESOURCES LLC.,BRIDGEWELL RESOURCES LLC,"SINO STARCO CHEMICAL CO.,LIMITED.",03/01/2015,344916,156780,Pusan,"Tacoma, Washington",SOFIA EXPRESS,South Korea,N/MN/MN/MN/MN/MN/M,"12420 SE CARPENTER DRIVE, CLACKAMAS,OR 97015 USA FAX #503-742-1198","2 MINJIANG ROAD B-2403,QINGDAO 266071,P.R.CHINA",97015,6,GESU6547406 HDMU6690923 FCIU8973026 HDMU6325638 DFSU6214127BMOU4676633,45G0 45G0 45G0 45G0 45G045G0,156,PKG,0, ,HDMUQIWB9343442, , ,0030E,E577382 E591364 E591313 E591351 E587959 E591330,GERMANY, ,HDMU,HYUNDAI MERCHANT MARINE,SEOUL, , ,879 W 190TH ST 7TH FL,"TLR,MARGARET MOWERY","11855 N.E.GLENN WIDING DRIVE, PORTLAND OR 97220 P#503-257-6090 X343","QINGDAO, CHINA"
22 PALLET (S) WITH URUGUAYAN PINE K/D BLANKS S2S PCS 5728 CBM 49.250 NET WEIGHT 24520 KGS. ORDER NR. 728754 WOOD PACKING MATERIALS BEING USED ARE FREE OF BARK & APPARENTLY FREE FROMLIVE PLANT PEST,BRIDGEWELL RESOURCES, ,DANK S.A.,02/28/2015,54670,24850,Montevideo,"Oakland, California",MSC BHAVYA,Uruguay,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,"10200 SW GREENBURG RD., STE. 500, T TIGARD OR 97223 UNITED STATES",JUAN PAULLIER 1671 MONTEVIDEO 11200 URUGUAY,97223,1,TCKU9039447,4510,22,PKG,49,X,MSCUUU401586, , ,450S,EU0004223631,LIBERIA, ,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,RICHARD MURRAY & CO INC,N CONCEPTION ST # 102 MOBILE AL 36602 UNITED STATES,MONTEVIDEO
"NET WEIGHT 23.320 KGS PCS 5808 WOOD NET WEIGHT 21.720 KGS PCS 5408 89 PALLET (S) WITH URUGUAYAN PINE K/D BLANKS S2S PCS 26157 MBF 84.024 CBM 198.130 ORDER NR: 723167/725335/728755/72875 7 WOOD PACKING MATERIALS BEING USED ARE FREE OF BARK & APPARENTLY FREE FROMLIVE PLANT PEST 2ND NOTIFY RICHARD MURRAY & CO. INC. 109N CONCEPTION STREET #102 MOBILE,A NET WEIGHT 24.170 KGS PCS 9133 WOOD NET WEIGHT: 24555 KGS PCS 5808 WOOD L36602 INGE WENTWORTH P 2514325549 EXT.19 F 2514322810 INGERICHARD-MURRAY.COM",BRIDGEWELL RESOURCES, ,DANK S.A.,02/28/2015,209220,95100,Cristobal,"Oakland, California",MSC BHAVYA,Panama,NO MARKSNO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKSNO MARKSNO MARKSNO MARKS,"10200 SW GREENBURG RD., STE. 500, T TIGARD OR 97223 UNITED STATES",JUAN PAULLIER 1671 MONTEVIDEO 11200 URUGUAY,97223,4,MSCU7182979 MSCU9765384 MSCU8544183 INKU2346231,4510 4510 4510 4510,89,PKG,198,X,MSCUUU404416, , ,450S,EU0004224158 EU0004224357 EU0004224182 EU0004224162,LIBERIA, ,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD., STE. 500, T TIGARD OR 97223 UNITED STATES",MONTEVIDEO
"NET WEIGHT 24810 PCS 3960 59 PALLET (S) WITH URUGUAYAN PINE K/D BLANKS S2S PCS 23543 MBF 61.941 CBM 146.120 ORDER NR. 729184/723165/725546 WOOD PACKING MATERIALS BEING USED ARE FREE OF BARK & APPARENTLY FREE FROMLIVE PLANT PEST 2ND NOTIFY RICHARD MURRAY & CO. INC. 109N CONCEPTION STREET #102 MOBILE,AL36602 INGE WE NET WEIGHT 22995 PCS 10520 WOOD NET WEIGHT 25810 PCS 9184 WOOD NTWORTH P 2514325549 EXT.19 F 2514322810 INGERICHARD-MURRAY.COM",BRIDGEWELL RESOURCES, ,DANK S.A.,02/28/2015,163900,74500,Balboa,"Oakland, California",MSC BHAVYA,Panama,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKSNO MARKSNO MARKSNO MARKS,"10200 SW GREENBURG RD., STE. 500, T TIGARD OR 97223 UNITED STATES",JUAN PAULLIER 1671 MONTEVIDEO 11200 URUGUAY,97223,3,TRLU8164501 MEDU8375829 TRLU7146930,4510 4510 4510,59,PKG,146,X,MSCUUU402154, , ,450S,EU0004223968 EU0004223883 EU0004223940,LIBERIA, ,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD., STE. 500, T TIGARD OR 97223 UNITED STATES",MONTEVIDEO
UREA 46 PCT N PRILLED UREA 46 PCT N PRILLED UREA 46 PCT N PRILLED UREA 46%N PRILLED PO#00732760 UREA 46 PCT N PRILLED,BRIDGEWELL RESOURCES LLC.,BRIDGEWELL RESOURCES LLC,"SINO STARCO CHEMICAL CO.,LIMITED.",02/26/2015,344916,156780,Ningpo,"Tacoma, Washington",EVER EAGLE,China,N/MN/MN/M N/M THE SAMEN/MN/MN/M,"12420 SE CARPENTER DRIVE CLACKAMAS,OR 97015 USA FAX #503-742-1198","2 MINJIANG ROAD B-2403,QINGDAO 266071,P.R.CHINA",97015,6,EISU1672273 EGSU1016754 TGHU4976810 EMCU1355466 DRYU4163159EISU1726430,42G1 42G1 42G0 42G1 42G042G1,156,PKG,156,X,EGLV140500013336, , ,0380E,EMCBER8043 EMCBER8093 EMCBER8023 EMCBER8063 EMCBER8083 EMCBER8053,UNITED KINGDOM, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,"TLR,MARGARET MOWERY","11855 N.E.GLENN WIDING DRIVE,PORTLAND OR 97220 P#503-257-6090 X343","QINGDAO, CHINA"
AUISDTED BRIDGEWELL 00730068 /KD 12 SINGLE PACKS OF TIMBER CONSISTING OF: RADIATA M BTR KD RS 6/4 RW RL X 2 PACKS RADIATA M BTR KD RS 5/4 RW RL X 10 PACKS 12 PACKS IN TOTAL TOT PKGS 12 PACKAGES 109 N. CONCEPTION ST MOBILE. AL 36602 PHONE: 251 432 5549 EXT 19 FAX: 251 432 2810 EMAIL: INGE RICHARD-MURRAY.COM FREIGHT PREPAID DESTINATION CHARGES PREPAID,BRIDGEWELL RESOURCES, ,SOUTHWOOD NZ LTD,02/25/2015,54230,24650,Tauranga,"Savannah, Georgia",CMA-CGM UTRILLO,New Zealand,NO MARKS,"10200 SW GREENBURG ROAD SUITE 500 TIGARD, OREGON 97223, U.S.A. PHONE: 503 872 3535 FAX: 503 238 2664",PO BOX 52 MOTUEKA PH: 03 528 7082 NEW ZEALAND,97223,1,GESU4693438,4500,12,PCS,0,CM,ANLCACD0220653, , ,RP482,CSEP528285NZCSEP528285,CYPRUS, ,ANLC,ANL SINGAPORE PTE LTD, , ,79118,70 SHENTON WAY 16-04 MARINA HOUSE,BRIDGEWELL RESOURCES,"10200 SW GREENBURG ROAD SUITE 500 TIGARD, OREGON 97223, U.S.A. PHONE: 503 872 3535 FAX: 503 238 2664",NELSON
