PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT,SHIPPER_CLEANED,YEAR,IMPORTER_CLEANED,IMPORTER_COUNTRY
GREENHEART PILES FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-SACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC OF,WILLIAM G. MOORE & SON INC,DURABLE WOOD PRODUCTS ENT.,2012-03-25 00:00:00,35979,16354,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM SHANGHAI,Jamaica,D - WGM,"DELAWARE 218 SCHANCK ROAD, PO BOX 6 309 FREEHOLD NEW JERSEY 07728 USA",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,7728,1,ZCSU8330713,4500,35,PCS,12,CF,ZIMUGTG04708, , ,36W,ZZC164729/,HONG KONG,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2012,WILLIAM G. MOORE & SON INC,United States
WAMARADANG & PURPLEHEART LUMBER FREIGHTCOLLECT ALL LOCAL CHARGES AT DESTINATIONFOR CONSIGNEE-S ACCOUNT SAID TO BE SAID TO WEIGH,EVERGREEN FOREST PRODUCTS INC.,EVERGREEN FOREST PRODUCTS INC,DURABLE WOOD PRODUCTS ENT.,2012-03-18 00:00:00,29123,13238,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM PUSAN,Jamaica,EFPI,P.O. BOX 922 578 SOUND AVENUE WADIN G RIVER NY 11792 USA,81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,11792,1,ZCSU8635461,4500,480,PCS,14,CF,ZIMUGTG04676, , ,31W,ZZC166527/,UNITED KINGDOM,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2012,EVERGREEN FOREST PRODUCTS INC.,United States
GREENHEART PILES FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-SACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC OF,WILLIAM G. MOORE & SON INC,DURABLE WOOD PRODUCTS ENT.,2012-03-04 00:00:00,28428,12922,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM BEIJING,Jamaica,ORANGE ENDS,"DELAWARE 218 SCHANCK ROAD, P.O BOX 6309 FREEHOLD NEW JERSEY 07728 U.S. A",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,7728,1,ZCSU8292721,4500,32,PCS,10,CF,ZIMUGTG04636, , ,30W,ZZC162551/,LIBERIA,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2012,WILLIAM G. MOORE & SON INC,United States
"CONIFEROUS WD,SAWN,FINGRJOINTDGREENHEART LUMBER R/SCONIFEROUS WD,SAWN,FINGRJOINTDGREENHEART LUMBER R/S",ASHBURN INTERNATIONAL TRADE, ,DURABLE WOOD PRODUCTS ENT.,2012-03-01 00:00:00,90609,41186,Port Bustamante,"Long Beach, California",ZIM HAIFA,Jamaica,AIT - 25 AIT - 25,"(TIANJIN) CO., LTD 16A, MINHE ROAD, JIANFU INDUSTRIAL PARK, XIQING ECO NOMIC DEVELOPMENT AREA, TIANJIN 30",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,0,2,ZIMU1433853 ZIMU2579483,2200 2200,129,PCS,31,CF,ZIMUGTG04600, , ,30W,ZZC165391/ ZZC165393/,ISRAEL,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2012,ASHBURN INTERNATIONAL TRADE,China
GREENHEART PILES FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-SACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,DURABLE WOOD PRODUCTS ENT.,2012-02-20 00:00:00,42163,19165,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM SHENZHEN,Jamaica,ORANGE ENDS,"OF DELAWARE 218 SCHANCK ROAD, PO BO X 6309 FREEHOLD NEW JERSEY 07728 US A",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,7728,1,ZCSU7012451,4500,24,PCS,14,CF,ZIMUGTG04588, , ,31W,ZZC165371/,UNITED KINGDOM,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2012,WILLIAM G. MOORE & SON INC,United States
GREENHEART PILES FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-SACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,DURABLE WOOD PRODUCTS ENT.,2012-01-30 00:00:00,48391,21996,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM MEDITERRANEAN,Jamaica,ORANGE ENDS,"OF DELWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD NEW JERSEY 07728 U.S .A",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,7728,1,ZCSU8269193,4500,34,PCS,14,CF,ZIMUGTG04527, , ,40W,ZZC163700/,ISRAEL,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2012,WILLIAM G. MOORE & SON INC,United States
GREENHEART PILES FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-SACCOUNT SAID TO BE SAID TO WEIGH,EVERGREEN FOREST PRODUCTS INC.,EVERGREEN FOREST PRODUCTS INC,DURABLE WOOD PRODUCTS ENT.,2012-01-22 00:00:00,36563,16620,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM VIRGINIA,Jamaica,RED ENDS,P.O. BOX 922 578 SOUND AVENUE WADIN G RIVER NY 11792 USA,81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,11792,1,ZCSU8429666,4500,25,PCS,11,CF,ZIMUGTG04509, , ,37W,ZZC163643/,ISRAEL,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2012,EVERGREEN FOREST PRODUCTS INC.,United States
"CONIFEROUS WD,SAWN,FINGRJOINTDGREENHEART LUMBER R/SCONIFEROUS WD,SAWN,FINGRJOINTDGREENHEART LUMBER R/S",ASHBURN INTERNATIONAL TRADE, ,DURABLE WOOD PRODUCTS ENT.,2012-01-20 00:00:00,105468,47940,Port Bustamante,"Long Beach, California",ZIM CALIFORNIA,Jamaica,AIT - 24 AIT - 24,"(TIANJIN) CO., LTD 16A, MINHE ROAD, JIANFU INDUSTRIAL PARK, XIQING ECO NOMIC DEVELOPMENT AREA, TIANJIN 30",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,0,2,ZCSU8308200 ZIMU1383958,4500 2200,101,PCS,38,CF,ZIMUGTG04489, , ,37W,ZZC161958/ ZZC167395/,ISRAEL,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2012,ASHBURN INTERNATIONAL TRADE,China
GREENHEART PILES FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-SACCOUNT SAID TO BE SAID TO WEIGH,"WILLIAM G. MOORE & SON, INC OF",WILLIAM G. MOORE & SON INC,DURABLE WOOD PRODUCTS ENT.,2012-01-02 00:00:00,40708,18504,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM CALIFORNIA,Jamaica,ORANGE ENDS,"DELWARE 218 SCHANCK ROAD, PO BOX 63 09 FREEHOLD NEW JERSEY 07728 U.S.A",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,7728,1,BMOU4503345,4500,30,PCS,14,CF,ZIMUGTG04466, , ,37W,ZZC167392/,ISRAEL,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2012,WILLIAM G. MOORE & SON INC,United States
"PHONE,TELEGRAPH,ELECTRIC POLEGREENHEART LUMBER R/SPHONE,TELEGRAPH,ELECTRIC POLEGREENHEART LUMBER R/S",ASHBURN INTERNATIONAL TRADE, ,DURABLE WOOD PRODUCTS ENT.,2011-12-30 00:00:00,84800,38545,Port Bustamante,"Long Beach, California",ZIM SHENZHEN,Jamaica,NO MARKS NO NUMBERS NO MARKS NO NUMBERS,"(TIANJIN) CO., LTD 16A, MINHE ROAD JIANFU INDUSTRIAL PARK, XIQING ECON OMIC DEVELOPMENT AREA, TIANJIN 300",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,0,2,DFSU6493823 GSLU2023260,4500 2200,80,PCS,31,CF,ZIMUGTG04447, , ,30W,ZZC167298/ ZZC161801/,UNITED KINGDOM,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2011,ASHBURN INTERNATIONAL TRADE,China
(85 PIECES CRABWOOD LUMBER R/S RED ENDSWITH WHITE MARKS) (3 PIECES PURPLEHEART LUMBER R/S) FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-S ACCOUNT SAID TO BE SAID TO WEIGH,EVERGREEN FOREST PRODUCTS INC.,EVERGREEN FOREST PRODUCTS INC,DURABLE WOOD PRODUCTS ENT.,2011-12-04 00:00:00,55005,25002,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM HAIFA,Jamaica,NO MARKS NO NUMBERS,P.O. BOX 922 578 SOUND AVENUE WADIN G RIVER NEW YORK 11792 U.S.A,81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,11792,1,ZCSU8779010,4500,88,PCS,23,CF,ZIMUGTG04373, , ,29W,ZZC185507/,ISRAEL,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2011,EVERGREEN FOREST PRODUCTS INC.,United States
GREENHEART LUMBER R/S FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-S ACCOUNT SAID TO BE SAID TO WEIGH,EVERGREEN FOREST PRODUCTS INC.,EVERGREEN FOREST PRODUCTS INC,DURABLE WOOD PRODUCTS ENT.,2011-08-21 00:00:00,53142,24155,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM PUSAN,Jamaica,WAXED ENDS,578 SOUND AVENUE P.O. BOX 922 WADIN G RIVER NEW YORK 11792 U.S.A,81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,11792,1,XINU8009880,4500,36,PCS,19,CF,ZIMUGTG04154, , ,28W,ZZC149804/,UNITED KINGDOM,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2011,EVERGREEN FOREST PRODUCTS INC.,United States
GREENHEART LUMBER R/S FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNE-S ACCOUNT SAID TO BE SAID TO WEIGH,EVERGREEN FOREST PRODUCTS INC.,EVERGREEN FOREST PRODUCTS INC,DURABLE WOOD PRODUCTS ENT.,2011-08-21 00:00:00,53451,24296,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM PUSAN,Jamaica,WAXED ENDS,578 SOUND AVENUE P.O. BOX 922 WADIN G RIVER NEW YORK 11792 U.S.A,81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,11792,1,CLHU8674583,4500,36,PCS,19,CF,ZIMUGTG04155, , ,28W,ZZC149807/,UNITED KINGDOM,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2011,EVERGREEN FOREST PRODUCTS INC.,United States
GREENHEART PILES 30- FREIGHT COLLECT ALLLOCAL CHARGES AT DESTINATION FOR CONSIGNEE-S ACCOUNT SAID TO BE SAID TO WEIGH,EVERGREEN FOREST PRODUCTS INC.,EVERGREEN FOREST PRODUCTS INC,DURABLE WOOD PRODUCTS ENT.,2011-07-19 00:00:00,35613,16188,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM TEXAS,Jamaica,RED ENDS,P.O. BOX 922 578 SOUND AVENUE WADIN G RIVER NY 11792 U.S.A,81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,11792,1,ZCSU8278169,4500,26,PCS,14,CF,ZIMUGTG04080, , ,3E,ZZC188249/,MARSHALL ISLANDS,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2011,EVERGREEN FOREST PRODUCTS INC.,United States
(20 PIECES GREENHEART PILES  8.47 CBM)(10 PIECES GREENHEART PILES  4.97 CBM) FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-S ACCOUNT SAID TO BESAID TO WEIGH,DURABLE WOOD PRODUCTS USA INC., ,DURABLE WOOD PRODUCTS ENT.,2011-07-12 00:00:00,41182,18719,Port Bustamante,"New York/Newark Area, Newark, New Jersey",PEARL RIVER I,Jamaica,YELLOW ENDS,"8004 NW 154 STREET, #198 MIAMI LAKE S FLORIDA 33016 U.S.A",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,33016,1,ZCSU8782740,4500,30,PCS,13,CF,ZIMUGTG04042, , ,14E,C955760/91,LIBERIA,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2011,DURABLE WOOD PRODUCTS USA INC.,United States
(88 PIECES PURPLEHEART LUMBER R/S  5.34CBM) (236 PIECES GREENHEART LUMBER S4S 12.33 CBM) FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-S ACCOUNT SAID TO BE SAID TO WEIGH,DURABLE WOOD PRODUCTS USA INC., ,DURABLE WOOD PRODUCTS ENT.,2011-07-12 00:00:00,46208,21004,Port Bustamante,"New York/Newark Area, Newark, New Jersey",PEARL RIVER I,Jamaica,WAXED ENDS,8004 NW 154 STREET #198 MIAMI LAKES FLORIDA 33016 U.S.A,81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,33016,1,ZCSU8782673,4500,324,PCS,18,CF,ZIMUGTG04046, , ,14E,C955759/91,LIBERIA,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2011,DURABLE WOOD PRODUCTS USA INC.,United States
(186 PIECES PURPLEHEART DECKING S4S/E4E)(1 BUNDLE WALLABA SINGLES) FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-S ACCOUNT SAID TO BE SAID TO WEIGH,EVERGREEN FOREST PRODUCTS INC.,EVERGREEN FOREST PRODUCTS INC,DURABLE WOOD PRODUCTS ENT,2011-06-19 00:00:00,34623,15738,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM SHENZHEN,Jamaica,WAXED ENDS,P.O. BOX 922 578 SOUND AVENUE WADIN G RIVER NY 11792 U.S.A,81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,11792,1,GSLU2036550,2200,187,PCS,13,CF,ZIMUGTG03997, , ,27E,ZZC188035/,UNITED KINGDOM,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2011,EVERGREEN FOREST PRODUCTS INC.,United States
GREENHEART PILES 30- - 35- FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-S ACCOUNT SAID TO BE SAID TO WEIGH,EVERGREEN FOREST PRODUCTS INC.,EVERGREEN FOREST PRODUCTS INC,DURABLE WOOD PRODUCTS ENT.,2011-06-12 00:00:00,41832,19015,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM HAIFA,Jamaica,RED ENDS,P.O. BOX 922 578 SOUND AVENUE WADIN G RIVER NY 11792 U.S.A,81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,11792,1,ZCSU8521319,4500,27,PCS,14,CF,ZIMUGTG03981, , ,26E,ZZC184871/,ISRAEL,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2011,EVERGREEN FOREST PRODUCTS INC.,United States
6' X 6' GREENHEART LUMBER R/110 PIECES -20-,"DURABLE WOOD PRODUCTS USA, INC", ,DURABLE WOOD PRODUCTS ENT,2011-05-31 00:00:00,39600,18000,Demerara,"Wilmington, Delaware",BALTIC SEA,Guyana,PO# 204 YELLOW ENDS / DWP / PO# 2060 IN BLACK MARKS,"8004 NW 154TH STREET #198 MIAMI LAKES, FL 33016","81 STONE AVENUE, SECTION M CAMPBELLVILLE GEORGETOWN, GUYANA",33016,1,NC, ,7,BNDLS,0, ,SOAI033GEOSAL035, , ,33, ,NORWAY,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,"DURABLE WOOD PRODUCTS USA, INC", ,GEORGETOWN,Durable Wood Products Inc.,2011,DURABLE WOOD PRODUCTS USA INC.,United States
12' - 14' GREENHEART PILE32 PIECES - 16FT - 22 / 590 LF,"DURABLE WOOD PRODUCTS USA, INC", ,DURABLE WOOD PRODUCTS ENT,2011-05-31 00:00:00,27588,12540,Demerara,"Wilmington, Delaware",BALTIC SEA,Guyana,PO # 205 YELLOW ENDS / DWP / PO# 2057 IN BLACK MARKS,"8004 NW 154TH STREET #198 MIAMI LAKES, FL 33016","81 STONE AVENUE, SECTION M CAMPBELLVILLE GEORGETOWN, GUYANA",33016,1,NC, ,32,PCS,0, ,SOAI033GEOSAL034, , ,33, ,NORWAY,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,"DURABLE WOOD PRODUCTS USA, INC", ,GEORGETOWN,Durable Wood Products Inc.,2011,DURABLE WOOD PRODUCTS USA INC.,United States
"12' - 16' GREENHEART PILE48FT - 52FT / 1,109 LF","DURABLE WOOD PRODUCTS USA, INC.", ,DURABLE WOOD PRODUCTS ENT,2011-05-31 00:00:00,50283,22856,Demerara,"Wilmington, Delaware",BALTIC SEA,Guyana,PO#205 YELLOW ENDS / DWP / 2051 IN BLACK MARKS,"8004 NW 154 STREET, #198 MIAMI LAKES, FLORIDA 33016 USA","81 STONE AVENUE, SECTION M CAMPBELLVILLE GEORGETOWN, GUYANA",33016,1,NC, ,22,PCS,0, ,SOAI033GEOSAL012, , ,33, ,NORWAY,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,"DURABLE WOOD PRODUCTS USA, INC.", ,GEORGETOWN,Durable Wood Products Inc.,2011,DURABLE WOOD PRODUCTS USA INC.,United States
"12' - 14' GREENHEART PILE18FT - 40FT / 750 LF12' - 14' GREENHEART PILES41FT - 52FT / 1,995 LF","DURABLE WOOD PRODUCTS USA, INC.", ,DURABLE WOOD PRODUCTS ENT,2011-05-31 00:00:00,127820,58100,Demerara,"Wilmington, Delaware",BALTIC SEA,Guyana,PO# 205 YELLOW ENDS / DWP / 2055 IN BLACK MARKS,"8004 NW 154 STREET, #198 MIAMI LAKES, FLORIDA 33016 USA","81 STONE AVENUE, SECTION M CAMPBELLVILLE GEORGETOWN, GUYANA",33016,1,NC, ,78,PCS,0, ,SOAI033GEOSAL013, , ,33, ,NORWAY,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,"DURABLE WOOD PRODUCTS USA, INC.", ,GEORGETOWN,Durable Wood Products Inc.,2011,DURABLE WOOD PRODUCTS USA INC.,United States
"59 PIECES - 10- - 18- / 2,018 B2-1/2' X 11-1/2' GREENHEART LUMBER S4","DURABLE WOOD PRODUCTS USA, INC.", ,DURABLE WOOD PRODUCTS ENT,2011-05-31 00:00:00,14683,6674,Demerara,"Wilmington, Delaware",BALTIC SEA,Guyana,PO# 205 WAXED ENDS /DWP/ 2062 IN WHITE MARKS,"8004 NW 154 STREET, #198 MIAMI LAKES, FLORIDA 33016 USA","81 STONE AVENUE, SECTION M CAMPBELLVILLE GEORGETOWN, GUYANA",33016,1,NC, ,5,BNDLS,0, ,SOAI033GEOSAL014, , ,33, ,NORWAY,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,"DURABLE WOOD PRODUCTS USA, INC.", ,GEORGETOWN,Durable Wood Products Inc.,2011,DURABLE WOOD PRODUCTS USA INC.,United States
"41FT - 42FT / 1,674 LF12'-16' GREENHEART PILES38FT - 40FT / 2,360 L12'-16' GREENHEART PILES","DURABLE WOOD PRODUCTS USA, INC.", ,DURABLE WOOD PRODUCTS ENT,2011-05-31 00:00:00,167858,76299,Demerara,"Wilmington, Delaware",BALTIC SEA,Guyana,PO#205 YELLOW ENDS / DWP / 2050 IN BLACK MARKS,"8004 NW 154 STREET, #198 MIAMI LAKES, FLORIDA 33016 USA","81 STONE AVENUE, SECTION M CAMPBELLVILLE GEORGETOWN, GUYANA",33016,1,NC, ,100,PCS,0, ,SOAI033GEOSAL011, , ,33, ,NORWAY,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,"DURABLE WOOD PRODUCTS USA, INC.", ,GEORGETOWN,Durable Wood Products Inc.,2011,DURABLE WOOD PRODUCTS USA INC.,United States
GREENHEART PILES 25- - 30- FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-S ACCOUNT SAID TO BE SAID TO WEIGH,EVERGREEN FOREST PRODUCTS INC.,EVERGREEN FOREST PRODUCTS INC,DURABLE WOOD PRODUCTS ENT,2011-05-29 00:00:00,36828,16740,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM VIRGINIA,Jamaica,RED ENDS,"P.O. BOX 922 578 SOUND AVENUE WADIN G RIVER, NY 11792 U.S.A",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,11792,1,ZCSU8192450,4500,27,PCS,12,CF,ZIMUGTG03946, , ,33E,ZZZC909325,ISRAEL,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2011,EVERGREEN FOREST PRODUCTS INC.,United States
GREENHEART PILES 35 FT FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-S ACCOUNT SAID TO BE SAID TO WEIGH,DURABLE WOOD PRODUCTS USA INC., ,DURABLE WOOD PRODUCTS ENT,2011-05-15 00:00:00,45470,20668,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM SHANGHAI,Jamaica,YELLOW ENDS,"8004 NW 154 STREET # 198 MIAMI LAKE FLORIDA 33016, U.S.A",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,33016,1,ZCSU8776264,4500,25,PCS,15,CF,ZIMUGTG03923, , ,31E,ZZZC911541,HONG KONG,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2011,DURABLE WOOD PRODUCTS USA INC.,United States
GREENHEART PILES 35FT FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-S ACCOUNT SAID TO BE SAID TO WEIGH,DURABLE WOOD PRODUCTS USA INC., ,DURABLE WOOD PRODUCTS ENT,2011-05-01 00:00:00,42935,19516,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM CALIFORNIA,Jamaica,YELLOW ENDS,"8004 NW 154 STREET # 198 MIAMI LAKE S FLORIDA 33016, U.S.A",81 STONE AVENUE SECTION M CAMPBELLV ILLE GEORGETOWN GUYANA,33016,1,ZCSU8329420,4500,25,PCS,15,CF,ZIMUGTG03871, , ,33E,ZZZC911869,ISRAEL,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Durable Wood Products Inc.,2011,DURABLE WOOD PRODUCTS USA INC.,United States
GREEN HEART PILESYELLOW ENDSBLACK MARKSWALLABA POSTSWAXED ENDS,DURABLE WOOD PRODUCTS, ,DURABLE WOOD PRODUCTS,2011-04-13 00:00:00,35037,15926,Point Lisas,"West Palm Beach, Florida",TROPIC CARIBE,Trinidad,TTNU9937572 TTNU9937572,8004 NW 154 STREET #198 MIAMI LAKES FL 33016 US,81 STONE AVE SECTION M GEORGETOWN GY,33016,1,TTNU9937572,45G0,62,PCS,0, ,TSCW9904240, , ,249,3250556,SAINT VINCENT AND THE GRENADINES,00 - Consumption Category,TSCW,TROPICAL SHIPPING & CONSTRUCTION CO,WEST PALM BEACH,FL,33404-6920,5 EAST 11TH STREET, , ,"GEORGETOWN,DEMERA",Durable Wood Products Inc.,2011,DURABLE WOOD PRODUCTS USA INC.,United States
