PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT,YEAR,SHIPPER_CLEANED,SHIPPER_COUNTRY
(90 PIECES GREENHEART - 8.43CBM) (102 PI ECES MIX HARDWOOD - 10.48CBM) FREIGHT COL LECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO W EIGH,EVERGREEN FOREST PRODUCTS INC.,EVERGREEN FOREST PRODUCTS INC,DOODNAUTH NAIPAUL,2015-06-28 0:00:00,24850,11295,Port Bustamante,"New York/Newark Area, Newark, New Jersey",DOLPHIN II,Jamaica,NO MARKS NO NUMBERS,P.O. BOX 922 578 SOUND AVENUE WADIN G RIVER NY 11792 USA,6 HARRISON STREET GOED FORTUIN WEST BANK DEMERARA GUYANA,11792,1,ZCSU8985881,4500,192,PCS,0,CF,ZIMUGTG08725,,,16W,CTA298623ZZCK85889,PANAMA,,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA,,,,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,2015,DOODNAUTH NAIPAUL,Guyana
PCS 20' GREENHEART PILES PCS 25' GREENHET PILES 80 PCS PLYWOOD SAMPLES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,GUYLOG,2015-06-09 0:00:00,39858,18117,Port Bustamante,"New York, New York",NEFELI,Jamaica,PO TALLY EFPI PO TALLY EFPI NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"134 DA SILVA ST NEWTOWN GEORGETOWN, GUYANA GUY",11792,1,SMLU7838203,,63,CNT,0,,SMLU4086991A,,,6,295059G1896032,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,GEORGETOWN,2015,GUYLOG,Guyana
PCS GREENHEART PILES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,GUYLOG,2015-05-19 0:00:00,38657,17571,Port Bustamante,"New York, New York",NEFELI,Jamaica,PO TALLY EFPI,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"134 DA SILVA ST NEWTOWN GEORGETOWN, GUYANA GUY",11792,1,GATU7005111,,22,CNT,0,,SMLU4071515A,,,5,G1765727293692,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST JERSEY CITY NJ 07302-3838 USA,GEORGETOWN,2015,GUYLOG,Guyana
PCS GREENHEART PILES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,GUYLOG,2015-05-06 0:00:00,21150,9614,Haina,"New York, New York",HANSA MEERSBURG,Dominican Republic,PO TALLY EFPI,PO BOX 922 WADING RIVER NY 11792 USA,"134 DA SILVA ST NEWTOWN GEORGETOWN, GUYANA GUY",11792,1,CLHU9004143,,96,CNT,0,,SMLU4056214A,,,2,G1895963293163,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST JERSEY CITY NJ 07302-3838 USA,GEORGETOWN,2015,GUYLOG,Guyana
PCS GREENHEART PILES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,GUYLOG,2015-05-06 0:00:00,37270,16941,Haina,"New York, New York",HANSA MEERSBURG,Dominican Republic,PO TALLY EFPI,PO BOX 922 WADING RIVER NY 11792 USA,"134 DA SILVA ST NEWTOWN GEORGETOWN, GUYANA GUY",11792,1,GLDU7028612,,40,CNT,0,,SMLU4056222A,,,2,G1765725,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST JERSEY CITY NJ 07302-3838 USA,GEORGETOWN,2015,GUYLOG,Guyana
PCS(4 PCS LOCUST HEWN SQUARE & 5 PIECES DARINA HEWN SQUARE),EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,GUYLOG,2015-04-21 0:00:00,48562,22074,Haina,"New York, New York",VIKING MERLIN,Dominican Republic,PO TALLY EFPI NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"134 DA SILVA ST NEWTOWN GEORGETOWN, GUYANA GUY",11792,1,SMLU7830584,,9,CNT,0,,SMLU4045378A,,,2,G1895886288666,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,GEORGETOWN,2015,GUYLOG,Guyana
PCS DARINA HEWN SQUARES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,GUYLOG,2015-04-21 0:00:00,50608,23004,Haina,"New York, New York",VIKING MERLIN,Dominican Republic,PO TALLY EFPI,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"134 DA SILVA ST NEWTOWN GEORGETOWN, GUYANA GUY",11792,1,GLDU0616044,,6,CNT,0,,SMLU4052549A,,,2,288880G1895923,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST JERSEY CITY NJ 07302-3838 USA,GEORGETOWN,2015,GUYLOG,Guyana
"PCS WAMARA HEWN SQUARES, 2 PCS PURPLEHEART HEWN SQUARES, 8 PCS DARINA HEWN SQUARES",EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,GUYLOG,2015-04-07 0:00:00,50024,22738,Haina,"New York, New York",SEABOARD RANGER,Dominican Republic,PO TALLY EFPI NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"134 DA SILVA ST NEWTOWN GEORGETOWN, GUYANA GUY",11792,1,BSIU9042534,,3,CNT,0,,SMLU4024638A,,,127,G1895503287502,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST JERSEY CITY NJ 07302-3838 USA,GEORGETOWN,2015,GUYLOG,Guyana
PCS GREENHEART PILES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,GUYLOG,2015-04-07 0:00:00,34391,15632,Haina,"New York, New York",SEABOARD RANGER,Dominican Republic,PO TALLY EFPI,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"134 DA SILVA ST NEWTOWN GEORGETOWN, GUYANA GUY",11792,1,UESU4347995,,27,CNT,0,,SMLU4024641A,,,127,287540G1895565,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST JERSEY CITY NJ 07302-3838 USA,GEORGETOWN,2015,GUYLOG,Guyana
"PCS 6X6, 100 PCS 2X6X16, 90 PCS 2X6X20 HARDWOOD LUMBER PCS 2X4 GREENHEART LUMBER",EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,DOODNAUTH NAIPAUL,2015-03-31 0:00:00,88068,40031,Port Bustamante,"New York, New York",VIKING MERLIN,Jamaica,NO MARKS NO MARKSNO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"6 HARRISON STREET GOED FORTUIN, WEST BANK DEMERARA GUY",11792,2,TCKU9096806 TRLU5475259,,846,CNT,0,,SMLU4023425A,,,1,,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,GEORGETOWN,2015,DOODNAUTH NAIPAUL,Guyana
PCS GREENHEART PILES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,GUYLOG,2015-03-11 0:00:00,28575,12989,Port Bustamante,"New York, New York",SPICA,Jamaica,PO TALLY EFPI,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"134 DA SILVA ST NEWTOWN GEORGETOWN, GUYANA GUY",11792,1,GESU5958845,,49,CNT,0,,SMLU3986209A,,,197,G1895396284888,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST JERSEY CITY NJ 07302-3838 USA,GEORGETOWN,2015,GUYLOG,Guyana
PCS GREENHEART PILES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,GUYLOG,2015-03-11 0:00:00,34104,15502,Port Bustamante,"New York, New York",SPICA,Jamaica,PO TALLY EFPI,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"134 DA SILVA ST NEWTOWN GEORGETOWN, GUYANA GUY",11792,1,SMLU7844952,,40,CNT,0,,SMLU3986206A,,,197,G1895397285065,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST JERSEY CITY NJ 07302-3838 USA,GEORGETOWN,2015,GUYLOG,Guyana
GREENHEART PILES - 899 LN FT (CHLOROCARD IUM RODIEI) FREIGHT COLLECT ALL LOCAL CHA RGES AT DESTINATION FOR CONSIGNEE'S ACCOU NT SAID TO BE SAID TO WEIGH,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,TRADE-LINC,2015-02-25 0:00:00,18390,8359,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM SAVANNAH,Jamaica,NO MARKS NO NUMBERS,578 SOUND AVENUE WADING RIVER NEW Y ORK 11792 USA,37 AREA Q TURKEYEN EAST COAST DEME RARA GUYANA,11792,1,ZCSU8470736,4500,30,PCS,0,CF,ZIMUGTG08290,,,46W,CTA284682ZZCK79203,LIBERIA,,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA,,,,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,2015,TRADE-LINC,Guyana
PCS 12X12 HARDWOOD LUMBER PCS 12X12 GREENHEART LUMBER,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,DOODNAUTH NAIPAUL,2015-02-25 0:00:00,89785,40811,Port Bustamante,"New York, New York",VLIET TRADER,Jamaica,NO MARKSNO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"6 HARRISON STREET GOED FORTUIN, WEST BANK DEMERARA GUY",11792,2,GLDU7010470 GATU8718009,,70,CNT,0,,SMLU3985758A,,,67,284573G1895391 284574 G1895392,NETHERLANDS,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,GEORGETOWN,2015,DOODNAUTH NAIPAUL,Guyana
PCS GREENHEART PILES PCS GREENHEART PILES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,GUYLOG,2015-02-19 0:00:00,62118,28235,Port Bustamante,"New York, New York",SPICA,Jamaica,PO TALLY EFPIPO TALLY EFPI,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"134 DA SILVA STREET, NEWTOWN GEORGETOWN, GUYANA GUY",11792,2,SMLU7842970 TCNU9557522,,76,CNT,0,,SMLU3980098A,,,196,284276G1895341 284275 G1895360,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST JERSEY CITY NJ 07302-3838 USA,GEORGETOWN,2015,GUYLOG,Guyana
GREENHEART PILES - 1597 LN FT (CHLOROCAR DIUM RODIEI) FREIGHT COLLECT ALL LOCAL CH ARGES AT DESTINATION FOR CONSIGNEE'S ACCO UNT SAID TO BE SAID TO WEIGH,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,TRADE-LINC,2015-02-08 0:00:00,20270,9214,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM SHANGHAI,Jamaica,NO MARKS NO NUMBERS,578 SOUND AVENUE WADING RIVER NEW Y ORK 11792 USA,37 AREA Q TURKEYEN EAST COAST DEME RARA GUYANA,11792,1,TCNU7255781,4500,57,PCS,0,CF,ZIMUGTG08229,,,51W,CTA283665ZZCK78220,HONG KONG,,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA,,,,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,2015,TRADE-LINC,Guyana
GREENHEART PILES,EVERGREEN FOREST PRODUCTS INC.,EVERGREEN FOREST PRODUCTS INC,VARIETY WOODS & GREENHEART LIMITED,2014-12-29 0:00:00,429928,195422,All Other Guyana Ports,"New York, New York",OSLO BULK 5,Guyana,"END COLOUR BLUE, GREEN & YELLOW ENDS MARKS EG 874521 P.O.G.",P.O. BOX 922 578 SOUND AVENUE WADING RIVER NY 11792 US,99 LALUNI STREET QUEENSTOWN GEORGETOWN GY,11792,1,NC,,155,PCS,0,CF,OBUKOB519121401,,,28,,SINGAPORE,,OBUK,,,,,,EVERGREEN FOREST PRODUCTS INC.,P.O. BOX 922 578 SOUND AVENUE WADING RIVER NY 11792 US,,2014,VARIETY WOODS GREENHEART LTD,Guyana
GREENHEART PILES CHLOROCARDIUM RODIEJ,EVERGREEN FOREST PRODUCTS INC.,EVERGREEN FOREST PRODUCTS INC,TRADE LINC,2014-12-29 0:00:00,1481823,673556,All Other Guyana Ports,"New York, New York",OSLO BULK 5,Guyana,NO MARKS,P.O. BOX 922 578 SOUND AVENUE WADING RIVER NY 11792 US,37 AREA Q TURKEYEN EAST COAST DEMERARA GY,11792,1,NC,,434,PCS,0,CF,OBUKOB519121402,,,28,,SINGAPORE,,OBUK,,,,,,EVERGREEN FOREST PRODUCTS INC.,P.O. BOX 922 578 SOUND AVENUE WADING RIVER NY 11792 US,,2014,TRADE-LINC,Guyana
PCS GREENHEART PILES - 1547 LINEAR FEET (CHLOROCARDIUM RODIEI),EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,TRADE LINC,2014-12-19 0:00:00,49250,22386,Port Bustamante,"New York, New York",SPICA,Jamaica,NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"37 AREA 'Q' TURKEYEN EAST COAST DEMERARA, GUYANA GUY",11792,1,TCNU9693405,,61,CNT,0,,SMLU3881415A,,,191,275259 G1765822,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST JERSEY CITY NJ 07302-3838 USA,GEORGETOWN,2014,TRADE-LINC,Guyana
PCS GREENHEART PILES - 810 LINEAR FEET (CHLOROCARDIUM RODIEI),EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,TRADE LINC,2014-12-04 0:00:00,47308,21504,Port Bustamante,"New York, New York",SPICA,Jamaica,NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"37 AREA 'Q' TURKEYEN EAST COAST DEMERARA, GUYANA GUY",11792,1,TGHU8971355,,27,CNT,0,,SMLU3861574A,,,190,274282 G1765476,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST JERSEY CITY NJ 07302-3838 USA,GEORGETOWN,2014,TRADE-LINC,Guyana
"PCS ROUGH SAWN GREENHEART LUMBER - 2,028 BM PCS ROUGH SAWN GREENHEART LUMBER -5,924BM",EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,VARIETY WOODS & GREENHEART LTD,2014-10-22 0:00:00,47810,21732,Port Bustamante,"New York, New York",SPICA,Jamaica,NO MARKS NO MARKS NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"99 LALUNI ST QUEENSTOWN GEORGETOWN, GUYANA GUY",11792,1,GESU4895526,,224,CNT,0,,SMLU3827153A,,,187,268214 G1765139,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,GEORGETOWN,2014,VARIETY WOODS GREENHEART LTD,Guyana
GREENHEART LUMBER FREIGHT COLLECT ALL LO CAL CHARGES AT DESTINATION FOR CONSIGNEE' S ACCOUNT SAID TO BE SAID TO WEIGH,EVERGREEN FOREST PRODUCTS INC.,EVERGREEN FOREST PRODUCTS INC,SUSTAINABLE FOREST PRODUCTS INC,2014-10-16 0:00:00,23630,10741,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM CONSTANZA,Jamaica,NO MARKS NO NUMBERS,P.O. BOX 922 578 SOUND AVENUE WADIN G RIVER NY 11792 USA,"C/O FARFAN & MENDES, URQUHART STREE T, GEORGETOWN, GUYANA TEL:592 22681 30 FAX:592 225 8651",11792,1,ZCSU8487702,4500,1000,PCS,0,CF,ZIMUGTG07915,,,30E,CTA312451 ZZCK53048,ISRAEL,,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA,,,,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,2014,SUSTAINABLE FOREST PRODUCTS INC,Guyana
PCS 2'X4'X16FT GREENHEART PCS 2'X4'X16FT GREENHEART PCS 2'X4'X16FT GREENHEART,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,DOODNAUTH NAIPAUL,2014-10-15 0:00:00,144027,65467,Port Bustamante,"New York, New York",VEGA NIKOLAS,Jamaica,NO MARKS NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"6 HARRISON STREET GOED FORTUIN, WEST BANK DEMERARA GUY",11792,3,FCIU9357133 CLHU9010260 SMLU7820312,,2250,CNT,0,,SMLU3823443A,,,158,312287 G1765097 312286 G1765095 312285 G1765096,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,GEORGETOWN,2014,DOODNAUTH NAIPAUL,Guyana
PIECES GREENHEART LUMBER PIECES GREENHEART LUMBER,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,DOODNAUTH NAIPAUL,2014-09-24 0:00:00,95064,43211,Port Bustamante,"New York, New York",SPICA,Jamaica,NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"6 HARRISON STREET GOED FORTUIN, WEST BANK DEMERARA GUY",11792,2,TTNU9617877 TCKU9887073,,104,CNT,0,,SMLU3799832A,,,185,306386 G1764899 306387 G1764900,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,GEORGETOWN,2014,DOODNAUTH NAIPAUL,Guyana
WHITE BIRCH PLYWOOD,EVERGREEN FOREST PRODUCTS INC.,EVERGREEN FOREST PRODUCTS INC,WINWIN WOODS INTERNATIONAL CORP.,2014-09-11 0:00:00,52778,23990,Ningpo,"Houston, Texas",COSCO HONG KONG,China,N/M,"578 SOUND AVE WADING RIVER,NY,11792,US","LEVEL 5,DEVELOPMENT BANK OF SAMOA BUILDING BEACH ROAD, APIA,,WS",,1,CBHU8400962,4500,20,CRT,0,,TLKPTAOLAX48002X,H,COSU6100125290,0107E,L92786,BAHAMAS,,TLKP,TRANSLINK SHIPPING INC,SEATTLE,WA,98155,15020 BOTHELL WAY NE - #100,-NOT AVAILABLE-,,QINGDAO,2014,WINWIN WOODS INTERNATIONAL CORP.,Samoa
PIECES GREENHEART PILINGS PIECES GREENHEART PILINGS,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,PARADISE WOODS,2014-09-10 0:00:00,118606,53912,Port Bustamante,"New York, New York",SPICA,Jamaica,NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"LOT 7 HAGUE FRONT WEST COAST DEMERARA, GUYANA GUY",11792,2,GESU4307520 SMLU8500925,,37,CNT,0,,SMLU3791304A,,,184,305483 G1616388 305482 G1616387,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,GEORGETOWN,2014,PARADISE WOODS,Guyana
GREENHEART LUMBER FREIGHT COLLECT ALL LO CAL CHARGES AT DESTINATION FOR CONSIGNEE' S ACCOUNT SAID TO BE SAID TO WEIGH,EVERGREEN FOREST PRODUCTS INC.,EVERGREEN FOREST PRODUCTS INC,SUSTAINABLE FOREST PRODUCTS INC,2014-09-09 0:00:00,26160,11891,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM TEXAS,Jamaica,NO MARKS NO NUMBERS,P.O. BOX 922 578 SOUND AVENUE WADIN G RIVER NY 11792 USA,"C/O FARFAN & MENDES, URQUHART STREE T, GEORGETOWN, GUYANA TEL:592 22681 30 FAX:592 225 8651",11792,1,CRSU9062340,4500,1000,PCS,0,CF,ZIMUGTG07764,,,28E,CTA305359 ZZCK52628,MARSHALL ISLANDS,,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA,,,,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,2014,SUSTAINABLE FOREST PRODUCTS INC,Guyana
PIECES 2X4X16 GREENHEART PIECES 2X4X16 GREENHEART PIECES 3X10X16 PURPLEHEART,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,DOODNAUTH NAIPAUL,2014-08-27 0:00:00,93580,42536,Port Bustamante,"New York, New York",SPICA,Jamaica,NO MARKS NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"6 HARRISON STREET GOED FORTUIN, WEST BANK DEMERARA GUY",11792,2,TEXU5576338 SMLU7842184,,1330,CNT,0,,SMLU3774868A,,,183,302202 G1764661 302203 G1764664,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,GEORGETOWN,2014,DOODNAUTH NAIPAUL,Guyana
PCS GREENHEART PILES 835 LINEAR FEET (CHLOROCARDIUM RODIEI),EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,TRADE LINC,2014-08-13 0:00:00,55562,25255,Port Bustamante,"New York, New York",SPICA,Jamaica,NO MARKS NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"37 AREA 'Q' TURKEYEN EAST COAST DEMERARA, GUYANA GUY",11792,1,CAXU9393345,,34,CNT,0,,SMLU3766777A,,,182,301824 G1764595,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST JERSEY CITY NJ 07302-3838 USA,GEORGETOWN,2014,TRADE-LINC,Guyana
PCS ROUND GREENHEART PILES PCS ROUND GREENHEART PILES PCS ROUND GREENHEART PILES PCS ROUND GREENHEART PILES PCS ROUND GREENHEART PILES PCS ROUND GREENHEART PILES PCS ROUND GREENHEART PILES,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,PARADISE WOODS,2014-08-13 0:00:00,393737,178971,Port Bustamante,"New York, New York",SPICA,Jamaica,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"LOT 7 HAGUE FRONT WEST COAST DEMERARA, GUYANA GUY",11792,7,SMLU7872635 TTNU9638442 FCIU9354638 SMLU7839920 SMLU7862405 SMLU7826141 FCIU8728224,,182,CNT,0,,SMLU3767392A,,,182,301366 G1616385 301280 G1616381 301278 G1616382 301279 G1616384 301364 G1616386 301365 G1616383 301274 G1616380,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,EVERGREEN FOREST PRODUCTS INC,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,GEORGETOWN,2014,PARADISE WOODS,Guyana
GREENHEART LUMBER FREIGHT COLLECT ALL LO CAL CHARGES AT DESTINATION FOR CONSIGNEE' S ACCOUNT SAID TO BE SAID TO WEIGH,EVERGREEN FOREST PRODUCTS INC.,EVERGREEN FOREST PRODUCTS INC,SUSTAINABLE FOREST PRODUCTS INC,2014-08-08 0:00:00,26610,12095,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM RIO GRANDE,Jamaica,NO MARKS NO NUMBERS,P.O. BOX 922 578 SOUND AVENUE WADIN G RIVER NY 11792 USA,"C/O FARFAN & MENDES, URQUHART STREE T, GEORGETOWN, GUYANA TEL:592 22681 30 FAX:592 225 8651",11792,1,ZCSU8761449,4500,1000,PCS,0,CF,ZIMUGTG07644,,,55E,CTA301293 ZZCK51419,MALTA,,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA,,,,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,2014,SUSTAINABLE FOREST PRODUCTS INC,Guyana
PCS GREENHEART PILES 1800 LINEAR FEET (CHLOROCARDIUM RODIEI),EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,TRADE LINC,2014-08-06 0:00:00,53935,24516,Port Bustamante,"New York, New York",VEGA NIKOLAS,Jamaica,NO MARKS NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"37 AREA 'Q' TURKEYEN EAST COAST DEMERARA, GUYANA GUY",11792,1,SMLU7858241,,72,CNT,0,,SMLU3762143A,,,153,301252 G1764486,LIBERIA,,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST JERSEY CITY NJ 07302-3838 USA,GEORGETOWN,2014,TRADE-LINC,Guyana
