PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,YEAR,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT,SHIPPER_CLEANED,SHIPPER_COUNTRY,ekki,greenheart,darina,tatabu,shibadan,tauroniro,garlicwood,locust,bulletwood,kabukalli,wamara,cow wood,mora,bukea,burada,eucalyptus cloeziana,tali,piles
ROUND GREENHEART PILES (35'-39') - 837 LF FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LIMITED,04/29/2021,2021,60649,27568,Port Bustamante,"New York/Newark Area, Newark, New Jersey",TAIPEI TRADER,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 U.S.A TEL:732-303-6049 FAX:732-303-6075",99 LALUNI STREET QUEENSTOWN GEORGETOWN GUYANA,7728,1,FSCU8322358,4500,22,PCS,609,CF,ZIMUGTG0016072, , ,119N,CTA536289 ZZCSB261951,SINGAPORE, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,Variety Woods & Greenheart,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ROUND GREENHEART PILES  1037 LIN FT LENGTHS 20-29 FT FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,REGINALD MANBODH T/A GS FOREST,04/21/2021,2021,59987,27267,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ILIOS,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD NEW JERSEY 07728 USA","RESOURCES INC. 464 KISKADEE DRIVE, SOUTH RUIMVELDT GARDENS GUYANA TEL:21/0085/6267493 FAX:218-0054",7728,1,ZCSU8845724,4500,40,PCS,747,CF,ZIMUGTG0016058, , ,18N,JCA348577 ZZCSB274509,LIBERIA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,Reginald Manbodh T/A Gs Forest,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
EKKI HARDWOOD HS 440729,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,WIJMA KAMPEN B.V.,04/17/2021,2021,46688,21222,Rotterdam,"New York/Newark Area, Newark, New Jersey",MSC ELODIE,Netherlands,NO MARKS,218 SCHANCK ROAD FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8260 NL,7728,1,SEGU6237160,4510,9,PCS,0, ,RSECUSNYC1030631,H,MEDUII396975,112W,A008309,PANAMA, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE & SON INC,218 SCHANCK ROAD,ROTTERDAM NETHERL,Wijma Kampen B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EKKI HARDWOOD HS CODE 440729,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,WIJMA KAMPEN B.V.,04/17/2021,2021,51590,23450,Rotterdam,"New York/Newark Area, Newark, New Jersey",MSC ELODIE,Netherlands,NO MARKS,218 SCHANCK ROAD FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8260 NL,7728,1,GLDU9838757,4510,10,PCS,0, ,RSECUSNYC1030632,H,MEDUII396983,112W,A006554,PANAMA, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE & SON INC,218 SCHANCK ROAD,ROTTERDAM NETHERL,Wijma Kampen B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EKKI HARDWOOD HS CODE-440729,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,WIJMA KAMPEN B.V.,04/17/2021,2021,51876,23580,Rotterdam,"New York/Newark Area, Newark, New Jersey",MSC ELODIE,Netherlands,NO MARKS,218 SCHANCK ROAD FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8260 NL,7728,1,CAIU8606676,4510,9,PCS,0, ,RSECUSNYC1030101,H,MEDUII341708,112W,A008306,PANAMA, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE & SON INC,218 SCHANCK ROAD,ROTTERDAM NETHERL,Wijma Kampen B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EKKI HARDWOOD HS CODE-440729,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,WIJMA KAMPEN B.V.,04/17/2021,2021,52362,23801,Rotterdam,"New York/Newark Area, Newark, New Jersey",MSC ELODIE,Netherlands,NO MARKS,218 SCHANCK ROAD FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8260 NL,7728,1,CAIU7356356,4510,9,PCS,0, ,RSECUSNYC1030102,H,MEDUII396959,112W,A007047,PANAMA, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE & SON INC,218 SCHANCK ROAD,ROTTERDAM NETHERL,Wijma Kampen B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ROUND GREENHEART PILES  981 LIN FT LENGTHS 30-34FT FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,REGINALD MANBODH T/A GS FOREST,03/24/2021,2021,53572,24351,Port Bustamante,"New York/Newark Area, Newark, New Jersey",CONTSHIP LEO,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD NEW JERSEY 07728 USA","RESOURCES 464 KISKADEE DRIV, SOUTH RUIMVELDT GARDENS, GUYANA TEL:218-0085/ 626 7493 FAX:218 0054",7728,1,BSIU9527860,4500,30,PCS,664,CF,ZIMUGTG0016012, , ,6N,CTA567042 ZZCSB305060,LIBERIA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,Reginald Manbodh T/A Gs Forest,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ROUND GREENHEART PILES (30'-34') - 826 LF FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LTD,03/08/2021,2021,60208,27367,Port Bustamante,"New York/Newark Area, Newark, New Jersey",FOUMA,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD NEW JERSEY 07728 U.S.A TEL:732-303-6049 FAX:732-303-6075",99 LALUNI STREET QUEENSTOWN GEORGETOWN GUYANA SOUTH AMERICA,7728,1,TLLU5793710,4500,25,PCS,586,CF,ZIMUGTG0015979, , ,22N,CTA566279 ZZC104949,CYPRUS, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,Variety Woods & Greenheart,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
"87 PIECES ROUGH SAWN GREENHEART LUMBER - 4932 BM 13 PIECES ROUGH SAWN DARINA LUMBER-309 BM 5 PIECES ROUGH SAWN TATABU LUMBER - 160 BM 1 PIECE ROUGH SAWN SHIBADAN LUMBER - 32 BM 81 PIECES ROUGH SAWN TAURONIRO LUMBER - 1899 BM ALL DUNNAGE IS FUMIGATED WITH LUMBER IN CONTAINER AS PER SHIPPER FREIGHT COLLECT ALL, LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH",WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LIMITED,02/09/2021,2021,62302,28319,Port Bustamante,"New York/Newark Area, Newark, New Jersey",TAMPA TRADER,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 U.S.A TEL:7323036049 FAX:7323036075",99 LALUNI STREET QUEENSTOWN GEORGETOWN GUYANA SOUTH AMERICA,7728,1,ZCSU8938175,4500,187,PCS,611,CF,ZIMUGTG0015924, , ,117N,CTA561068 ZZCSB259970,SINGAPORE, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,Variety Woods & Greenheart,Guyana,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
EKKI HARDWOOD FSC 100 HS CODE-440729,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,WIJMA KAMPEN B.V.,01/12/2021,2021,35853,16297,Rotterdam,"New York/Newark Area, Newark, New Jersey",OOCL ATLANTA,Netherlands,NO MARKS,218 SCHANCK ROAD FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8260 NL,7728,1,CSLU2255596,2210,8,BDL,0, ,RSECUSNYC0120098,H,OOLU2117711520,120W,A007981,HONG KONG, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE & SON INC,218 SCHANCK ROAD,ROTTERDAM NETHERL,Wijma Kampen B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"156 PIECES DRESSED TATABU LUMBER-3100BM-7.31CBM 37 PIECES DRESSED GREENHEART LUMBER-704BM-1.65CBM 72 PIECES ROUGH SAWN GREENHEART LUMBER-3600BM-8.50CBM ALL DUNNAGE IS FUMIGATED WITH LUMBER IN CONTAINER AS PER SHIPPER FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO W, EIGH",WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LIMITED,01/12/2021,2021,58378,26535,Port Bustamante,"New York/Newark Area, Newark, New Jersey",TAMPA TRADER,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD NEW JERSEY 07728 USA TEL:732-303-6049 FAX:732-303-6075",99 LALUNI STREET QUEENSTOWN GEORGETOWN GUYANA,7728,1,FSCU8090360,4500,265,PCS,617,CF,ZIMUGTG0015849, , ,115N,CTA559014 ZZCSB261361,SINGAPORE, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,Variety Woods & Greenheart,Guyana,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ROUND GREENHEART PILES1163 LIN FT LENGTHS 25-29 FT FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,REGINALD MANBODH T/A GS FOREST,01/12/2021,2021,69511,31596,Port Bustamante,"New York/Newark Area, Newark, New Jersey",TAMPA TRADER,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD NEW JERSEY 07728 USA","RESOURCES INC. 464 KISKADEE DRIV, SOUTH RUIMVELDT GARDENS GEORGTOWN GUYANA TEL:5922180085/6267493 FAX:218-0054",7728,1,ZCSU8624810,4500,42,PCS,774,CF,ZIMUGTG0015860, , ,115N,CTA559217 ZZCSB261362,SINGAPORE, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,Reginald Manbodh T/A Gs Forest,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ROUND GREENHEART PILES  1201 LIN FT LENGTHS 35-39 FT FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,REGINALD MANBODH T/A G S FOREST,12/31/2020,2020,60869,27668,Port Bustamante,"New York/Newark Area, Newark, New Jersey",TAMPA TRADER,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD NEW JERSEY 07728 USA","RESOURCES INC. 464 KISKADEE DRIVE, SOUTH RUIMVELDT GARDENS GUYANA TEL:592218 0085/6267493 FAX:2180054",7728,1,TGBU7218670,4500,32,PCS,800,CF,ZIMUGTG0015796, , ,114N,CTA538094 ZZCSB294264,SINGAPORE, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,Reginald Manbodh T/A Gs Forest,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
"258 PIECES 29 PIECES -6'10'- (3X6 - 5X21) ROUGH SAWN KLIN DRIED GARLICWOOD (GUYANA WHITE OAK) LUMBER 48 PIECES - 6' - 10' - (3X5 - 5X24) ROUGH SAWN KLIN DRIED LOCUST (JATOBA) LUMBER 38 PIECES - 6' - 10' - (2X15 - 5X11) ROUGH SAWN KLIN DRIED GREENHEART LUMBER 31 PIECES - 6' - 10' - (3X8 - 5X12) ROUGH SAWN KLIN, DRIED BULLETWOOD LUMBER 43 PIECES - 6' - 12' - (3X8 - 5X16) ROUGH SAWN KLIN DRIED LEMONBALLI LUMBER 69 PIECES - 6' - 10' (3X6 - 5X26) ROUGH SAWN KLIN DRIED PURPLEHEART LUMBER PO NUMBER:1912047 FREIGHT PREPAID ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH",WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,BARAKAT TIMBERS & TRADING CO. LTD,12/09/2020,2020,50618,23008,Port Bustamante,"New York/Newark Area, Newark, New Jersey",TAMPA TRADER,Jamaica,NO MARKS NO NUMBERS,"C/O-GREEN VALLEY WOOD PRODUCTS, LLC 8673 N PRIVATE ROAD RD 600W BRAZIL, IN 47834, USA TEL:732 303 6049, 1-812 442 1974 FAX:732 303 6075","CHARITY POMEROON RIVER GUYANA, SOUTH AMERICA TEL:592 771 5200/5200 CELL:592 649 1818", ,1,AXIU1599862,4500,19,BDL,717,CF,ZIMUGTG0015795, , ,113N,CTA518973 ZZCSB294305,SINGAPORE, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,WILLIAM G. MOORE & SON INC,"C/O-GREEN VALLEY WOOD PRODUCTS, LLC 8673 N PRIVATE ROAD RD 600W BRAZIL, IN 47834, USA TEL:732 303 6049, 1-812 442 1974 FAX:732 303 6075",GEORGETOWN - GUYA,Barakat Timbers & Trading Co.,Guyana,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
ROUGH SAWN GREENHEART LUMBER - 7320 BM ALL DUNNAGE IS FUMIGATED WITH LUMBER IN CONTAINER AS PER SHIPPER FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LIMITED,12/09/2020,2020,61839,28109,Port Bustamante,"New York/Newark Area, Newark, New Jersey",TAMPA TRADER,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 USA TEL:732-303-6049 FAX:732-303-6075",99 LALUNI STREET QUEENSTOWN GEORGETOWN GUYANA,7728,1,TGBU7130017,4500,200,PCS,610,CF,ZIMUGTG0015782, , ,113N,CTA537484 ZZCSB294263,SINGAPORE, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,Variety Woods & Greenheart,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ROUND GREENHEART PILES  1051 LIN FT LENGTHS 30-34FT FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,REGINALD MANBODH T/A G.S FOREST,11/24/2020,2020,58819,26736,Port Bustamante,"New York/Newark Area, Newark, New Jersey",TAMPA TRADER,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD NEW JERSEY 07728 USA","RESOURCES INC. 464 KISKADEE DRIVE, SOUTH RUIMVELDT GARDEN GUYANA TEL:592 218 0085/ 626 7493 FAX:592 218 0054",7728,1,ZCSU8810158,4500,32,PCS,863,CF,ZIMUGTG0015750, , ,112N,CTA536562 ZZCSB296778,SINGAPORE, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,Reginald Manbodh T/A Gs Forest,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ROUND GREENHEART PILES (35' - 39') 869 LF FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LIMITED,11/24/2020,2020,61971,28169,Port Bustamante,"New York/Newark Area, Newark, New Jersey",TAMPA TRADER,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 U.S.A TEL:732-303-6049 FAX:732-303-6075",99 LALUNI STREET QUEENSTOWN GEORGETOWN GUYANA SOUTH AMERICA,7728,1,TCNU8674550,4500,23,PCS,595,CF,ZIMUGTG0015703, , ,112N,CTA536727 ZZCSB296789,SINGAPORE, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,Variety Woods & Greenheart,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
"183 PIECES ROUGH SAWN KABUKALLI LUMBER -4656BM 95 PIECES ROUGH SAWN DARINA LUMBER -2256BM 6 PIECES ROUGH SAWN WAMARADAN LUMBER-138BM 4 PIECES SHIBADAN LUMBER-160BM ALL DUNNAGE IS FUMIGATED WITH LUMBER IN CONTAINER AS PER SHIPPER FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID T, O BE SAID TO WEIGH",WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LIMITED,10/19/2020,2020,58510,26595,Port Bustamante,"New York/Newark Area, Newark, New Jersey",TAIPEI TRADER,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 U.S.A TEL:732-303-6049 FAX:732-303-6075",99 LALUNI STREET QUEENSTOWN GEORGETOWN GUYANA SOUTH AMERICA,7728,1,TCNU5091014,4500,288,PCS,600,CF,ZIMUGTG0015677, , ,106N,CTA534794 ZZCSB298796,SINGAPORE, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,Variety Woods & Greenheart,Guyana,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False
116 PIECES ROUGH SAWN GREENHEART LUMBER -6528BM 40 PIECES ROUGH SAWN KABUKALLI LUMBER -800BM ALL DUNNAGE IS FUMIGATED WITH LUMBER IN CONTAINER AS PER SHIPPER FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LIMITED,10/12/2020,2020,59348,26976,Port Bustamante,"New York/Newark Area, Newark, New Jersey",TAMPA TRADER,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 U.S.A TEL:732-303-6049 FAX:732-303-6075",99 LALUNI STREET QUEENSTOWN GEORGETOWN GUYANA SOUTH AMERICA,7728,1,ZCSU7029829,4500,156,PCS,610,CF,ZIMUGTG0015663, , ,109N,CTA532579 ZZCSB298641,SINGAPORE, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,Variety Woods & Greenheart,Guyana,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
ROUGH SAWN GREENHEART LUMBER -7200BM ALL DUNNAGE IS FUMIGATED WITH LUMBER IN CONTAINER AS PER SHIPPER FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LIMITED,10/12/2020,2020,59370,26986,Port Bustamante,"New York/Newark Area, Newark, New Jersey",TAMPA TRADER,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 U.S.A TEL:732-303-6049 FAX:732-303-6075",99 LALUNI STREET QUEENSTOWN GEORGETOWN GUYANA SOUTH AMERICA,7728,1,ZCSU8912313,4500,120,PCS,600,CF,ZIMUGTG0015669, , ,109N,CTA534409 ZZCSB298674,SINGAPORE, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,Variety Woods & Greenheart,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ROUND GREENHEART PILES 1850 LIN FT LENGTHS 25 FT FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,REGINALD MANBODH T/A,10/05/2020,2020,42196,19180,Port Bustamante,"New York/Newark Area, Newark, New Jersey",TAIPEI TRADER,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD NEW JERSEY 07728 USA","GS FOREST RESOURCES INC. 464 KISKADEE DRIV, SOUTH RUIMVELDT GARDEN GUYANA TEL:592 218 0085 /6267493 FAX:592 218 0054",7728,1,GAOU6041306,4500,74,PCS,515,CF,ZIMUGTG0015632, , ,105N,CTA532402 ZZCSB304161,SINGAPORE, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,Reginald Manbodh T/A Gs Forest,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ROUND GREENHEART PILES1195 LIN FT LENGTHS 25 - 39 FT FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC.,WILLIAM G. MOORE & SON INC,REGINALD MANBODH T/A,08/31/2020,2020,65829,29922,Port Bustamante,"New York/Newark Area, Newark, New Jersey",TAIPEI TRADER,Jamaica,NO MARKS NO NUMBERS,"OF DELAWARE 218 SCHANCK ROAD, PO BOX 6309 FREEHOLD, NEW JERSEY 07728 USA","GS FOREST RESOURCES INC. 464 KISKADEE DRIVE, SOUTH RUIMVELDT GARDENS, GUYANA TEL:592 218 0085/ 626 7493 FAX:592 218 0054",7728,1,TCNU1064999,4500,39,PCS,819,CF,ZIMUGTG0015533, , ,103N,348274 ZZCSB275960,SINGAPORE, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,Reginald Manbodh T/A Gs Forest,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
EKKI HARDWOOD HS CODE 440729,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,WIJMA KAMPEN B.V.,08/17/2020,2020,31139,14154,Rotterdam,"New York/Newark Area, Newark, New Jersey",COSCO PHILIPPINES,Netherlands,NO MARKS,218 SCHANCK ROAD FREEHOLD NJ 07728 US,HAATLANDHAVEN 3 KAMPEN 8260 NL,7728,1,OOCU6975015, ,7,BDL,0, ,RSECUSNYC0080129,H,OOLU2114238000,031W,A008211,HONG KONG, ,RSEC,ROSE CONTAINERLINE INC,NEW YORK,NY,10001,259 WEST 30TH ST 12TH FL,WILLIAM G. MOORE & SON INC,218 SCHANCK ROAD,ROTTERDAM NETHERL,Wijma Kampen B.V.,Netherlands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ROUGH GREENHEART PILES,WILLIAM G MOORE & SON INC OF,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LIMITED,07/06/2020,2020,515049,234113,All Other Guyana Ports,"New Haven, Connecticut",OSLO BULK 7,Guyana,NO MARKS,"DELAWARE, 218 SCHANCK ROAD PO BOX 6309 FREEHOLD NJ 07728 US",99 LALUNI STREET QUEENSTOWN GEORGETOWN GY,7728,1,NC, ,196,PCS,0,CF,OBUKOB717062001, , ,161, ,SINGAPORE, ,OBUK, , , , , ,WILLIAM G MOORE & SON INC OF,"DELAWARE, 218 SCHANCK ROAD PO BOX 6309 FREEHOLD NJ 07728 US",GEORGETOWN,Variety Woods & Greenheart,Guyana,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
